Date,Interpolated Demand,Interpolated Total Value
2021-04-09,29321.702666666668,1258012076.1031613
2021-04-10,29370.340096774195,1260066582.0602903
2021-04-11,29418.97752688172,1262121088.0174193
2021-04-12,29467.614956989248,1264175593.9745483
2021-04-13,29516.252387096774,1266230099.9316776
2021-04-14,29564.8898172043,1268284605.8888066
2021-04-15,29613.527247311828,1270339111.8459356
2021-04-16,29662.164677419354,1272393617.8030646
2021-04-17,29710.80210752688,1274448123.7601936
2021-04-18,29759.439537634407,1276502629.7173226
2021-04-19,29808.076967741934,1278557135.6744516
2021-04-20,29856.71439784946,1280611641.6315808
2021-04-21,29905.351827956987,1282666147.5887098
2021-04-22,29953.989258064514,1284720653.5458388
2021-04-23,30002.62668817204,1286775159.5029678
2021-04-24,30051.26411827957,1288829665.4600968
2021-04-25,30099.901548387097,1290884171.4172258
2021-04-26,30148.538978494624,1292938677.3743548
2021-04-27,30197.17640860215,1294993183.3314838
2021-04-28,30245.813838709677,1297047689.288613
2021-04-29,30294.451268817204,1299102195.245742
2021-04-30,30343.08869892473,1301156701.202871
2021-05-01,30391.726129032257,1303211207.16
2021-05-02,30551.418012486993,1310023882.8901145
2021-05-03,30711.109895941725,1316836558.620229
2021-05-04,30870.80177939646,1323649234.3503435
2021-05-05,31030.493662851197,1330461910.080458
2021-05-06,31190.18554630593,1337274585.8105724
2021-05-07,31349.877429760665,1344087261.5406868
2021-05-08,31509.5693132154,1350899937.2708013
2021-05-09,31669.261196670133,1357712613.0009158
2021-05-10,31828.95308012487,1364525288.7310302
2021-05-11,31988.6449635796,1371337964.4611447
2021-05-12,32148.336847034338,1378150640.1912591
2021-05-13,32308.028730489073,1384963315.9213736
2021-05-14,32467.720613943806,1391775991.651488
2021-05-15,32627.41249739854,1398588667.3816025
2021-05-16,32787.10438085328,1405401343.111717
2021-05-17,32946.79626430801,1412214018.8418314
2021-05-18,33106.48814776275,1419026694.571946
2021-05-19,33266.18003121748,1425839370.3020604
2021-05-20,33425.871914672214,1432652046.0321748
2021-05-21,33585.563798126954,1439464721.7622893
2021-05-22,33745.255681581686,1446277397.4924037
2021-05-23,33904.94756503642,1453090073.2225182
2021-05-24,34064.63944849115,1459902748.9526327
2021-05-25,34224.33133194589,1466715424.6827471
2021-05-26,34384.02321540062,1473528100.4128616
2021-05-27,34543.715098855355,1480340776.142976
2021-05-28,34703.406982310094,1487153451.8730905
2021-05-29,34863.09886576483,1493966127.603205
2021-05-30,35022.79074921956,1500778803.3333194
2021-05-31,35182.4826326743,1507591479.063434
2021-06-01,35342.17451612903,1514404154.7935483
2021-06-02,35223.23172043011,1507789125.2838387
2021-06-03,35104.28892473118,1501174095.774129
2021-06-04,34985.34612903226,1494559066.2644193
2021-06-05,34866.403333333335,1487944036.7547097
2021-06-06,34747.460537634404,1481329007.245
2021-06-07,34628.51774193548,1474713977.7352903
2021-06-08,34509.57494623656,1468098948.2255807
2021-06-09,34390.63215053763,1461483918.7158709
2021-06-10,34271.68935483871,1454868889.2061613
2021-06-11,34152.746559139785,1448253859.6964517
2021-06-12,34033.80376344086,1441638830.1867418
